bstopnm,geometry,SGG_NM
국제시장.부산근대역사관,POINT (129.030568 35.10277284),부산광역시 중구
국제시장,POINT (129.0301816667 35.1029433333),부산광역시 중구
국제시장,POINT (129.0296161 35.10308166),부산광역시 중구
새들맨션,POINT (129.0309433333 35.1050166667),부산광역시 중구
새들맨션,POINT (129.0305016667 35.1048733333),부산광역시 중구
중구종합사회복지관,POINT (129.02863 35.10577),부산광역시 중구
중구종합사회복지관,POINT (129.027282244076 35.105972961452),부산광역시 중구
보수아파트,POINT (129.0261566667 35.1073866667),부산광역시 중구
보수아파트,POINT (129.02616 35.10775),부산광역시 중구
혜광고교,POINT (129.024225 35.1089233333),부산광역시 서구
코모도호텔,POINT (129.03493 35.1100333333),부산광역시 중구
보수동책방골목,POINT (129.0264483333 35.1030566667),부산광역시 중구
보수동책방골목,POINT (129.026864 35.103104),부산광역시 중구
코모도호텔입구,POINT (129.03431470002 35.108091133632),부산광역시 중구
중앙공원.민주공원입구,POINT (129.02968978241 35.113567829728),부산광역시 중구
영주동,POINT (129.037146084703 35.109549655696),부산광역시 중구
영주동,POINT (129.037155001745 35.109026825566),부산광역시 중구
중부경찰서삼거리,POINT (129.036246766564 35.10756416664),부산광역시 중구
중앙역.중부경찰서삼거리,POINT (129.036241803791 35.106703629571),부산광역시 중구
중앙역.부산우체국,POINT (129.036284037655 35.103332530929),부산광역시 중구
중앙역.부산우체국,POINT (129.036421564394 35.104672968746),부산광역시 중구
부산데파트,POINT (129.036429658218 35.100811303038),부산광역시 중구
부산데파트,POINT (129.036658032039 35.100514583828),부산광역시 중구
남포역.옛시청교차로,POINT (129.03576599634 35.098596552389),부산광역시 중구
남포역.옛시청교차로,POINT (129.035267830892 35.097965085275),부산광역시 중구
남포동,POINT (129.032536657954 35.097929813667),부산광역시 중구
남포동,POINT (129.031943897335 35.097903706139),부산광역시 중구
자갈치역.비프광장,POINT (129.029504173349 35.09812482032),부산광역시 중구
자갈치역.비프광장,POINT (129.029174474002 35.097873505773),부산광역시 중구
구덕초등학교,POINT (129.012931258924 35.119585100744),부산광역시 서구
구덕초등학교,POINT (129.012773 35.119489),부산광역시 서구
서부교육청,POINT (129.0119733333 35.1181683333),부산광역시 서구
서부교육청,POINT (129.0122916667 35.1173633333),부산광역시 서구
동아대병원입구,POINT (129.01671130109 35.117447299632),부산광역시 서구
구덕운동장,POINT (129.0167683333 35.1165583333),부산광역시 서구
동대신3동,POINT (129.0182933333 35.11722),부산광역시 서구
동대신3동,POINT (129.01848 35.11752),부산광역시 서구
동대고개,POINT (129.02175431303 35.116056837623),부산광역시 서구
동대고개,POINT (129.02234 35.1158766667),부산광역시 서구
대신여중,POINT (129.0257783333 35.1133),부산광역시 서구
대신여중,POINT (129.02608 35.113005),부산광역시 서구
락서암,POINT (129.0246133333 35.1103566667),부산광역시 서구
락서암,POINT (129.0248 35.11077),부산광역시 서구
혜광고교,POINT (129.024399699129 35.108989338244),부산광역시 중구
화랑초등학교,POINT (129.022717806722 35.109833050038),부산광역시 서구
화랑초등학교,POINT (129.022365 35.1099833333),부산광역시 서구
동대시장,POINT (129.019941113593 35.110655016654),부산광역시 서구
동대시장.동대신역,POINT (129.018450139125 35.110410037154),부산광역시 서구
부산터널입구,POINT (129.022844825411 35.111663960728),부산광역시 서구
서여고,POINT (129.0212833333 35.1126283333),부산광역시 서구
서여고,POINT (129.0201366667 35.1140133333),부산광역시 서구
동신초등학교입구,POINT (129.0192616667 35.1145383333),부산광역시 서구
동신초등학교,POINT (129.01817 35.11513),부산광역시 서구
동신초등학교,POINT (129.0191816667 35.1148433333),부산광역시 서구
동신초등학교,POINT (129.018350262196 35.115287623633),부산광역시 서구
문화아파트,POINT (129.016648274889 35.115445836323),부산광역시 서구
