bstopnm,geometry,ADM_NM
남부민초등학교,POINT (129.0234066667 35.0878283333),남부민1동
남부민초등학교,POINT (129.0232983333 35.0882416667),남부민1동
동천아파트,POINT (129.021685 35.0900566667),남부민1동
동천아파트,POINT (129.021543988279 35.090546748861),남부민1동
남부민동경로당,POINT (129.02179 35.08767),남부민2동
남부민동경로당,POINT (129.021815 35.087435),남부민2동
천마우편취급국,POINT (129.0225133333 35.0858483333),남부민2동
천마우편취급국,POINT (129.0221 35.0851583333),남부민2동
등대시장,POINT (129.02478 35.0847133333),남부민2동
등대시장,POINT (129.024988361822 35.084320327966),남부민2동
대림아파트,POINT (129.0251483333 35.082445),남부민2동
대림아파트,POINT (129.0248883333 35.082295),남부민2동
부산관광고교,POINT (129.0220016667 35.0821183333),암남동
남부민2동주민센터,POINT (129.020285 35.083805),남부민2동
남부민2동주민센터,POINT (129.02034 35.083633),남부민2동
부산관광고교,POINT (129.0218966667 35.0824033333),남부민2동
신익아파트,POINT (129.02039 35.0799883333),암남동
신익아파트,POINT (129.0202783333 35.079405),암남동
암남동주민센터,POINT (129.021318652834 35.079862005925),암남동
암남동주민센터,POINT (129.0217316667 35.0797666667),암남동
송도교차로,POINT (129.0183633333 35.0783683333),암남동
송도입구,POINT (129.0180466667 35.079465),암남동
고신대학교복음병원,POINT (129.016151096211 35.081470460701),암남동
알로이시오기념병원,POINT (129.01282 35.0821183333),암남동
알로이시오기념병원,POINT (129.0128783333 35.08187),암남동
고신대학교복음병원,POINT (129.0159233333 35.0812533333),암남동
송도입구,POINT (129.017460640049 35.079779697938),암남동
송도교차로,POINT (129.018118754183 35.078401134427),암남동
송도초등학교,POINT (129.016815 35.0788383333),암남동
송도초등학교,POINT (129.0164333333 35.0784166667),암남동
송도해수욕장,POINT (129.0161333333 35.076375),암남동
송도해수욕장,POINT (129.015881935213 35.07673569178),암남동
송도공영주차장,POINT (129.015295 35.074225),암남동
송도공영주차장,POINT (129.0154116667 35.0739666667),암남동
혜성아파트,POINT (129.0161383333 35.0714983333),암남동
혜성아파트,POINT (129.0162466667 35.0711783333),암남동
휴게소,POINT (129.0192966667 35.0660783333),암남동
휴게소,POINT (129.0197883333 35.0658316667),암남동
암남공원,POINT (129.0192816667 35.0635366667),암남동
모지포마을입구,POINT (129.0163333333 35.0627916667),암남동
모지포마을,POINT (129.014585 35.0637716667),암남동
경성전자고등학교,POINT (129.013549776696 35.116055742666),서대신4동
경성전자고등학교,POINT (129.01282 35.1164083333),서대신3동
동원냉장,POINT (129.012798 35.065605),암남동
감천1.2.3부두,POINT (129.0094683333 35.0683283333),암남동
동원냉장,POINT (129.0129833333 35.0656483333),암남동
민들레맨션,POINT (129.0092033333 35.1086483333),서대신1동
민들레맨션,POINT (129.0093916667 35.1091266667),서대신1동
인성글로벌냉장,POINT (129.006735 35.072705),암남동
인성글로벌냉장,POINT (129.0066366667 35.0725633333),암남동
한일냉장,POINT (129.0053883333 35.08054),감천1동
한일냉장,POINT (129.005565 35.0800283333),감천1동
서대신금호아파트(종점),POINT (129.0111616667 35.1193233333),서대신4동
송도혜성아파트(종점),POINT (129.015955 35.072275),암남동
동대신2동,POINT (129.0238266667 35.1152433333),동대신2동
동대신2동,POINT (129.0240933333 35.1149233333),동대신2동
동양레미콘,POINT (129.0060016667 35.0757866667),암남동
감천1.2.3부두,POINT (129.0094483333 35.068205),암남동
동양레미콘,POINT (129.0060733333 35.0761866667),암남동
대신중학교,POINT (129.01375 35.117025),서대신4동
경남고등학교,POINT (129.0179916667 35.1191366667),동대신3동
현대아파트,POINT (129.017532266419 35.070902211983),암남동
현대아파트,POINT (129.0168216667 35.0708566667),암남동
해강노인관,POINT (129.0202183333 35.0850416667),남부민2동
해강노인관,POINT (129.0200583333 35.08483),남부민2동
모지포마을,POINT (129.014525 35.0637266667),암남동
성진수산,POINT (129.012010098387 35.062186515951),암남동
성진수산,POINT (129.012130490436 35.061937893617),암남동
부산국제수산물도매시장,POINT (129.011436 35.059938),암남동
동아대부민캠퍼스,POINT (129.02092108747 35.107487325934),부민동
동아대부민캠퍼스,POINT (129.0217736736 35.107637603247),동대신1동
수산가공선진화단지입구,POINT (129.0122832 35.05705224),암남동
수산가공선진화단지입구,POINT (129.012605587509 35.057015348233),암남동
수산가공선진화단지,POINT (129.011955445317 35.054637982065),암남동
부산국제수산물도매시장,POINT (129.011483 35.059855),암남동
남부민동,POINT (129.0179927 35.08326948),남부민2동
동산교회,POINT (129.0157694 35.08439027),남부민2동
알로이시오고교,POINT (129.012298746371 35.082348147692),암남동
남부민동,POINT (129.018426586869 35.083028908476),남부민2동
서대신역.서부경찰서,POINT (129.0143599 35.10998239),서대신1동
천마마을,POINT (129.0144322 35.08451163),암남동
문화아파트,POINT (129.016121625929 35.115276791618),동대신3동
까치고개,POINT (129.011425 35.1045816667),아미동
범곡교차로,POINT (129.0562937 35.14008672),범일1동
범곡교차로,POINT (129.056415 35.1406383333),범일1동
부산범천교회,POINT (129.054860427563 35.141841175067),범일1동
아름빌아파트,POINT (129.052248722123 35.141521517731),범일1동
아름빌아파트,POINT (129.0522233333 35.1416733333),범일1동
서광교회,POINT (129.05114 35.139965),범일1동
