관리번호,대로별,설치장소,전자운영,설치일자,형태,구군,주소,위도,경도,데이터기준일자
16047,반송로,신진초교, , ,교차로,기장군,기장군 철마면 안평리 502-36,35.23790475,129.1740437,2023-07-25
16048, ,연화터널 입구, , ,교차로,기장군,기장군 기장읍 연화리 417-4,35.21170514,129.2219359,2023-07-25
16049,기장대로,기장경찰서, , ,교차로,기장군,기장군 일광면 삼성리 산 80-2,35.25628166,129.2242097,2023-07-25
16050,반송로,고촌택지B지점, , ,교차로,기장군,기장군 철마면 안평리 584-99,35.23589973,129.1688733,2023-07-25
16051, ,고촌택지 C지점, , ,교차로,기장군,기장군 철마면 고촌로 58,35.23961171,129.1681136,2023-07-25
16052, ,고촌택지 D지점, , ,교차로,기장군,기장군 철마면 고촌리 203-2도 일원,35.23936772,129.1691099,2023-07-25
16053, ,고촌택지 E지점, , ,교차로,기장군,기장군 철마면 고촌로18번길 12,35.24050912,129.1722465,2023-07-25
16054, ,고촌B01BL공동주택, , ,교차로,기장군,기장군 철마면 고촌리 692,35.23896511,129.1697303,2023-07-25
16059, ,기장좌천초교, , ,단일로,기장군,기장군 장안읍 좌천로 12,35.31022554,129.2412203,2023-07-25
16060,기장대로,동남권버스차고지, , ,교차로,기장군,기장군 기장읍 청강리 산 76-4,35.22381362,129.2135716,2023-07-25
16061, ,월드컵빌리지 1지점, , ,교차로,기장군,기장군 일광면 원리 18-7,35.30712443,129.2447685,2023-07-25
16062, ,월드컵빌리지 8지점, , ,교차로,기장군,기장군 일광면 동백리 410-3,35.29648164,129.2436818,2023-07-25
16063, ,정관휴먼시아 201동, , ,교차로,기장군,기장군 정관면 모전리 789,35.33324851,129.1640493,2023-07-25
16064, ,휴먼시아 2단지 215동, , ,교차로,기장군,기장군 정관면 모전리 789,35.33324851,129.1640493,2023-07-25
16065, ,장안~임랑간1지점, , ,교차로,기장군,기장군 장안읍 좌동리 430-2,35.31726407,129.2421967,2023-07-25
16066, ,정관동원로얄듀크, , ,교차로,기장군,기장군 정관읍 산단4로 136,35.31866811,129.1923233,2023-07-25
16067, ,정관롯데아파트, , ,교차로,기장군,기장군 정관읍 정관3로 51,35.32994431,129.1683245,2023-07-25
16068, ,부일주유소, , ,교차로,기장군,기장군 장안읍 정관로 1130,35.32155333,129.2343991,2023-07-25
16069, ,우성스마트시티오피스텔, , ,교차로,기장군,기장군 정관읍 정관6로 3,35.32068924,129.1746358,2023-07-25
16070, ,동원로얄듀크2차 215동, , ,단일로,기장군,기장군 정관읍 정관6로 19-10,35.32020272,129.1764654,2023-07-25
16071, ,장안~임랑간2지점, , ,교차로,기장군,기장군 장안읍 좌천리 264-7,35.31607847,129.2435422,2023-07-25
16072, ,장안읍사무소, , ,교차로,기장군,기장군 장안읍 좌천리 250-9,35.31365088,129.2447036,2023-07-25
16073, ,협성르네상스아파트 입구, , ,교차로,기장군,기장군 정관읍 정관4로 68,35.32715381,129.1735196,2023-07-25
16074, ,협성르네상스아파트 주차장, , ,교차로,기장군,기장군 정관면 용수리 711-1,35.32755019,129.1753951,2023-07-25
16075, ,신정고교, , ,교차로,기장군,기장군 정관읍 정관3로 14,35.32825523,129.1668263,2023-07-25
