구군명,위도,경도,총합계,데이터기준일자,위치명,구간시점,구간종점,식재거리 km,메타세콰이아,칠엽수,중국단풍,팽나무,튤립나무,단풍나무,벽오동,대왕참나무,감나무,산딸나무,모과나무,왕벚나무,느티나무,버즘나무,양버즘,이팝나무,회화나무,모감주,계수나무,가죽나무,황벽나무,수양버들,복자기,느릅나무,대추나무,후박나무,먼나무,해송,가시나무,구실잣밤나무,개잎갈나무,녹나무,참식,주목,아왜나무,은행나무,가이즈카향나무,기타나무
영도구,35.082906,129.076356,86,2022-12-31,부산광역시 영도구 태종로,소방서앞사거리,봉래교차로,200,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,
부산진구,35.1704014,129.0512854,239,2024-07-31,부산광역시 부산진구 새싹로,새싹로 287-1,새싹로1,1.65, , , , , , , , , , , ,17, ,5, ,85, , , , , , , , , ,2, , , , , , , , , ,130, , 
부산진구,35.1653186,129.0516634,28,2024-07-31,부산광역시 부산진구 시민공원로 19번길,새싹로 87,시민공원로19번길 22-5,0.326, , , , , , , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , ,15, , 
부산진구,35.1601597,129.036515,478,2024-07-31,부산광역시 부산진구 백양대로,진양교차로 ,사상구경계,7.58, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , ,42, , , , , , ,433, , 
부산진구,35.1416903,129.0620084,19,2024-07-31,부산광역시 부산진구 자유평화로,평화도매시장,시민장례식장,0.35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19, , 
부산진구,35.1468628,129.0279363,150,2024-07-31,부산광역시 부산진구 가야벽산아파트길,가야벽산아파트내(122동인근),가야벽산아파트내(112동인근),1.02, , , , , , , , , , , ,150, , , , , , , , , , , , , , , , , , , , , , , , , , 
부산진구,35.155889,129.0626192,225,2024-07-31,부산광역시 부산진구 동천로,동천로140,중앙대로 666번길 50,1.283, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,14, , , ,210, , 
부산진구,35.1507159,129.024434,179,2024-07-31,부산광역시 부산진구 냉정로,가야반도보라,진사로19,2.89, , , , , , , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , ,155, , 
부산진구,35.1515633,129.0364293,72,2024-07-31,부산광역시 부산진구 대학로 45번길,대학로45번길 4,엄광로 233,0.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,72, , 
부산진구,35.1652868,129.0284986,149,2024-07-31,부산광역시 부산진구 백양관문로,개금주공아파트,"백양관문로(순환지점),백양터널",3.526, , , , , , , , , , , ,33, , , , , , , , , , , , , ,60,2, , , , , , , , ,54, , 
남구,35.12875,129.101913,67,2024-08-20,부산광역시 남구 조각공원로,대연고등학교,수목원일원,340,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,39,,
남구,35.1374733,129.108076,237,2024-08-20,부산광역시 남구 황령대로,광안대교입구,황령터널입구,2000,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,219,,
