"연령별(1)",연령별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"연령별(1)",연령별(2),사상구,사상구,사상구,삼락동,삼락동,삼락동,모라1동,모라1동,모라1동,모라3동,모라3동,모라3동,덕포1동,덕포1동,덕포1동,덕포2동,덕포2동,덕포2동,괘법동,괘법동,괘법동,감전동,감전동,감전동,주례1동,주례1동,주례1동,주례2동,주례2동,주례2동,주례3동,주례3동,주례3동,학장동,학장동,학장동,엄궁동,엄궁동,엄궁동
"연령별(1)",연령별(2),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명)
"25세∼29세",27세,2867,1545,1322,54,31,23,388,214,174,64,40,24,107,64,43,158,87,71,538,249,289,169,104,65,226,113,113,383,213,170,182,97,85,299,164,135,299,169,130
"25세∼29세",28세,3055,1641,1414,68,35,33,390,213,177,77,47,30,89,59,30,187,95,92,658,329,329,186,104,82,231,121,110,388,218,170,162,87,75,309,170,139,310,163,147
"25세∼29세",29세,2973,1655,1318,52,30,22,386,212,174,63,39,24,104,69,35,181,97,84,595,297,298,174,102,72,238,134,104,344,202,142,200,105,95,330,196,134,306,172,134
"30세∼34세",소계,12636,6862,5774,273,153,120,1776,935,841,345,208,137,429,243,186,700,374,326,2123,1197,926,799,450,349,1076,575,501,1571,836,735,718,397,321,1411,756,655,1415,738,677
"30세∼34세",30세,2911,1552,1359,64,37,27,382,196,186,83,55,28,97,56,41,147,81,66,536,297,239,155,82,73,242,133,109,388,192,196,161,88,73,320,173,147,336,162,174
"30세∼34세",31세,2776,1515,1261,60,42,18,397,210,187,75,48,27,80,43,37,166,89,77,489,271,218,180,94,86,218,119,99,355,194,161,151,84,67,285,150,135,320,171,149
"30세∼34세",32세,2464,1373,1091,53,26,27,357,197,160,66,45,21,88,52,36,135,74,61,425,255,170,171,104,67,197,106,91,302,161,141,131,73,58,292,157,135,247,123,124
"30세∼34세",33세,2380,1251,1129,51,23,28,348,174,174,62,30,32,84,47,37,134,64,70,385,210,175,153,89,64,216,110,106,287,157,130,141,72,69,260,134,126,259,141,118
"30세∼34세",34세,2105,1171,934,45,25,20,292,158,134,59,30,29,80,45,35,118,66,52,288,164,124,140,81,59,203,107,96,239,132,107,134,80,54,254,142,112,253,141,112
"35세∼39세",소계,10875,5869,5006,251,135,116,1412,765,647,285,154,131,448,238,210,608,317,291,1497,850,647,635,388,247,962,514,448,1269,702,567,614,334,280,1476,756,720,1418,716,702
"35세∼39세",35세,2174,1183,991,48,25,23,301,169,132,44,21,23,82,42,40,137,78,59,334,195,139,130,72,58,197,109,88,255,137,118,121,66,55,270,139,131,255,130,125
"35세∼39세",36세,2103,1189,914,48,30,18,261,137,124,54,28,26,89,58,31,115,60,55,292,182,110,133,88,45,198,107,91,254,150,104,113,61,52,248,125,123,298,163,135
"35세∼39세",37세,2139,1155,984,57,23,34,268,157,111,66,36,30,89,46,43,106,53,53,318,168,150,123,75,48,189,103,86,229,130,99,124,64,60,301,158,143,269,142,127
"35세∼39세",38세,2077,1080,997,48,29,19,291,152,139,52,27,25,94,52,42,127,64,63,257,141,116,118,71,47,194,100,94,235,122,113,113,62,51,281,140,141,267,120,147
"35세∼39세",39세,2382,1262,1120,50,28,22,291,150,141,69,42,27,94,40,54,123,62,61,296,164,132,131,82,49,184,95,89,296,163,133,143,81,62,376,194,182,329,161,168
"40세∼44세",소계,13744,7307,6437,280,167,113,1798,938,860,482,294,188,573,290,283,837,447,390,1484,821,663,788,460,328,1069,555,514,1571,834,737,806,422,384,2058,1099,959,1998,980,1018
"40세∼44세",40세,2754,1433,1321,65,37,28,373,202,171,97,50,47,109,55,54,166,86,80,305,168,137,150,81,69,218,102,116,321,178,143,164,86,78,416,214,202,370,174,196
"40세∼44세",41세,2891,1509,1382,54,32,22,345,185,160,93,56,37,126,61,65,176,100,76,346,188,158,168,93,75,229,122,107,295,146,149,165,78,87,474,254,220,420,194,226
"40세∼44세",42세,2816,1538,1278,60,40,20,366,184,182,90,60,30,122,64,58,176,90,86,297,176,121,163,103,60,239,128,111,332,178,154,167,94,73,421,225,196,383,196,187
"40세∼44세",43세,2850,1487,1363,59,39,20,397,192,205,101,66,35,117,62,55,176,99,77,291,161,130,172,104,68,210,105,105,318,159,159,169,93,76,394,200,194,446,207,239
"40세∼44세",44세,2433,1340,1093,42,19,23,317,175,142,101,62,39,99,48,51,143,72,71,245,128,117,135,79,56,173,98,75,305,173,132,141,71,70,353,206,147,379,209,170
"45세∼49세",소계,13672,7129,6543,328,186,142,1789,924,865,575,335,240,576,313,263,824,450,374,1306,722,584,783,453,330,1027,520,507,1521,779,742,865,433,432,2027,1005,1022,2051,1009,1042
"45세∼49세",45세,2552,1324,1228,55,31,24,333,169,164,106,56,50,104,61,43,167,92,75,246,138,108,128,76,52,212,114,98,303,149,154,160,76,84,353,170,183,385,192,193
"45세∼49세",46세,2444,1292,1152,52,32,20,324,173,151,87,55,32,93,41,52,134,76,58,234,116,118,142,83,59,200,116,84,284,147,137,144,67,77,412,211,201,338,175,163
"45세∼49세",47세,2693,1391,1302,64,38,26,339,175,164,118,71,47,123,69,54,164,91,73,241,140,101,164,84,80,190,92,98,297,148,149,161,71,90,412,208,204,420,204,216
"45세∼49세",48세,2877,1494,1383,71,38,33,366,195,171,124,68,56,132,70,62,167,94,73,283,157,126,154,92,62,206,102,104,304,157,147,212,116,96,432,216,216,426,189,237
"45세∼49세",49세,3106,1628,1478,86,47,39,427,212,215,140,85,55,124,72,52,192,97,95,302,171,131,195,118,77,219,96,123,333,178,155,188,103,85,418,200,218,482,249,233
"50세∼54세",소계,17757,8834,8923,528,312,216,2272,1140,1132,809,433,376,742,374,368,1075,518,557,1843,955,888,1112,594,518,1470,679,791,1784,881,903,1126,508,618,2544,1265,1279,2452,1175,1277
"50세∼54세",50세,3173,1600,1573,91,50,41,407,212,195,134,75,59,134,62,72,199,107,92,303,157,146,171,85,86,250,118,132,364,184,180,193,86,107,478,251,227,449,213,236
"50세∼54세",51세,3303,1677,1626,81,48,33,420,209,211,131,78,53,136,74,62,188,93,95,337,183,154,226,130,96,266,115,151,331,178,153,211,115,96,507,232,275,469,222,247
"50세∼54세",52세,3522,1754,1768,107,61,46,438,231,207,175,95,80,150,66,84,212,111,101,357,177,180,228,114,114,281,140,141,352,166,186,233,99,134,466,241,225,523,253,270
"50세∼54세",53세,3740,1850,1890,121,75,46,500,241,259,165,91,74,148,80,68,249,104,145,401,202,199,226,129,97,312,136,176,371,182,189,233,108,125,530,270,260,484,232,252
"50세∼54세",54세,4019,1953,2066,128,78,50,507,247,260,204,94,110,174,92,82,227,103,124,445,236,209,261,136,125,361,170,191,366,171,195,256,100,156,563,271,292,527,255,272
"55세∼59세",소계,19361,9620,9741,637,363,274,2631,1252,1379,978,506,472,861,454,407,1275,617,658,2127,1139,988,1364,736,628,1582,770,812,1776,847,929,1146,523,623,2513,1208,1305,2471,1205,1266
"55세∼59세",55세,3825,1820,2005,118,62,56,521,238,283,193,102,91,167,90,77,227,108,119,398,205,193,263,140,123,338,161,177,334,144,190,211,86,125,510,245,265,545,239,306
"55세∼59세",56세,3776,1964,1812,126,72,54,516,264,252,179,103,76,162,94,68,268,133,135,451,226,225,245,145,100,297,146,151,346,177,169,221,111,110,485,254,231,480,239,241
"55세∼59세",57세,3993,1945,2048,164,91,73,544,243,301,209,105,104,183,96,87,274,135,139,423,229,194,286,158,128,314,142,172,361,175,186,244,114,130,503,220,283,488,237,251
"55세∼59세",58세,3926,1966,1960,111,69,42,535,249,286,191,95,96,193,99,94,253,114,139,453,247,206,281,146,135,315,159,156,344,170,174,224,102,122,530,265,265,496,251,245
"55세∼59세",59세,3841,1925,1916,118,69,49,515,258,257,206,101,105,156,75,81,253,127,126,402,232,170,289,147,142,318,162,156,391,181,210,246,110,136,485,224,261,462,239,223
"60세∼64세",소계,22476,11203,11273,745,417,328,3205,1537,1668,1288,660,628,963,486,477,1525,771,754,2451,1274,1177,1596,872,724,1753,899,854,2001,964,1037,1396,646,750,3037,1397,1640,2516,1280,1236
"60세∼64세",60세,4434,2273,2161,134,76,58,649,325,324,263,141,122,185,101,84,313,158,155,488,256,232,331,192,139,379,205,174,380,177,203,228,107,121,579,256,323,505,279,226
"60세∼64세",61세,4846,2348,2498,166,95,71,737,339,398,251,131,120,227,118,109,352,173,179,537,258,279,334,178,156,355,175,180,457,204,253,284,118,166,596,285,311,550,274,276
