읍면동,자동차 등록 대수,인구수,횡단보도 개수,음식점 수,버스정류장 개수,음주 교통사고 건수,예측 음주운전 적발 건수
주례3동,4437,11883,7,124,35,4.41,2.4511867
중1동,11588,27066,43,511,36,8.32,5.1968365
중2동,6714,15129,4,146,44,4.78,2.8635523
중앙동,34933,3082,9,332,22,0.36,0.41655
철마면,3773,7414,13,80,91,2.12,1.7543272
청룡노포동,4346,9199,16,97,39,1.38,1.0734212
청학1동,2589,5295,8,24,20,0.58,0.50656384
청학2동,5582,16171,19,102,62,1.67,1.6565733
초량1동,18206,4820,2,100,0,0.25,0.46334815
초량2동,8736,5111,2,184,14,0.29,0.61970997
초량3동,5312,12528,14,210,26,0.66,0.92471915
초량6동,2711,5201,2,23,14,0.3,0.49843955
초읍동,7799,21729,17,206,55,6.51,3.7212684
초장동,745,3713,1,7,8,0.49,0.40654013
충무동,2740,9512,15,182,15,1.13,0.87582123
하단1동,8012,20907,25,206,17,5.47,3.0208898
하단2동,8452,24861,21,445,41,6.44,3.8102057
학장동,12076,26053,34,194,63,9.48,5.685996
화명1동,18430,39190,11,109,32,12.93,6.7182517
화명2동,6663,16808,11,115,50,5.32,2.849791
화명3동,11681,28085,60,321,22,9.25,4.9017096
