구군명,위반일자,위반장소명
강서구,2023-01-06 08:11,남명초등학교인근
강서구,2023-01-06 08:18,명지초등학교사거리인근
강서구,2023-01-06 08:22,명지초등학교사거리인근
강서구,2023-01-06 08:29,명지초등학교사거리인근
강서구,2023-01-06 08:33,대저2동 3136-2
강서구,2023-01-06 08:37,에일린의 뜰 104동 주변
강서구,2023-01-06 08:39,금강펜테리움 2차 교차로
강서구,2023-01-06 08:49,대저2동 3131-4
강서구,2023-01-06 09:07,신호동 269
강서구,2023-01-06 09:09,김해공항 U턴교차로 주변
강서구,2023-01-06 09:26,꿈바위 어린이집인근
강서구,2023-01-06 09:47,꿈바위 어린이집인근
강서구,2023-01-06 09:48,꿈바위 어린이집인근
강서구,2023-01-06 09:52,삼정그린코아더시티주변
강서구,2023-01-06 09:54,노블랜드오션뷰104동주변
강서구,2023-01-06 09:55,명지동 3361
강서구,2023-01-06 09:57,명지동 3359
강서구,2023-01-06 10:12,글로벌새싹어린이집 인근
강서구,2023-01-06 10:22,오션초등학교인근
강서구,2023-01-06 10:34,명지동 3412-2
강서구,2023-01-06 10:35,노블랜드오션뷰101동주변
강서구,2023-01-06 10:39,화전동 628
강서구,2023-01-06 10:40,오션초등학교인근
강서구,2023-01-06 11:44,명지동 3631
강서구,2023-01-06 11:46,명지동 3631
강서구,2023-01-06 11:49,미음동 1694
강서구,2023-01-06 12:27,대저2동 1932-1
강서구,2023-01-06 12:49,명지동 3412-2
강서구,2023-01-06 14:15,녹산초등학교인근
강서구,2023-01-06 14:18,에일린의 뜰 104동 주변
강서구,2023-01-06 14:26,국내선1층
강서구,2023-01-06 14:27,국내선1층
강서구,2023-01-06 14:28,노블랜드오션뷰101동주변
강서구,2023-01-06 14:56,김해공항 U턴교차로 주변
강서구,2023-01-06 15:05,노블랜드오션뷰101동주변
강서구,2023-01-06 15:25,노블랜드오션뷰104동주변
강서구,2023-01-06 15:40,노블랜드오션뷰101동주변
강서구,2023-01-06 15:42,국내선2층
강서구,2023-01-06 15:42,강서구청정문
강서구,2023-01-06 15:49,글로벌새싹어린이집 인근
강서구,2023-01-06 15:54,노블랜드오션뷰104동주변
강서구,2023-01-06 15:55,송정초등학교 교차로
강서구,2023-01-06 16:03,마음마을 주변
강서구,2023-01-06 16:11,명지동 3567
강서구,2023-01-06 16:17,꿈바위 어린이집인근
강서구,2023-01-06 16:19,명지동 3334-4
강서구,2023-01-06 16:24,명지동 3333
강서구,2023-01-06 16:27,노블랜드오션뷰104동주변
강서구,2023-01-06 16:36,김해공항 U턴교차로 주변
강서구,2023-01-06 16:37,국내선1층
강서구,2023-01-06 16:49,신호동 295
강서구,2023-01-06 16:50,강서구청정문
강서구,2023-01-06 16:53,금강펜테리움 2차 교차로
강서구,2023-01-06 17:15,명지동 3412-1
강서구,2023-01-06 17:58,화전동 664
강서구,2023-01-06 18:33,금강펜테리움 2차 교차로
강서구,2023-01-06 18:44,글로벌새싹어린이집 인근
강서구,2023-01-06 18:48,금강펜테리움 2차 교차로
강서구,2023-01-06 19:02,한솔학교사거리인근
강서구,2023-01-06 19:05,꿈바위 어린이집인근
강서구,2023-01-06 19:11,오션초등학교인근
강서구,2023-01-06 19:13,송정동 24번 교차로인근
강서구,2023-01-06 19:23,명지동 3449-9
강서구,2023-01-06 19:33,송정동 24번 교차로인근
강서구,2023-01-06 19:36,국내선2층
강서구,2023-01-06 20:07,김해공항 U턴교차로 주변
강서구,2023-01-06 20:10,신호동 부영2차아파트 주
강서구,2023-01-06 20:13,금강펜테리움 2차 교차로
강서구,2023-01-06 20:14,신호동 부영2차아파트 주
강서구,2023-01-06 20:31,국내선1층
강서구,2023-01-06 20:37,국내선2층
