일련번호,단속일자,단속장소주소
63,2023-01-01,범천동e편한세상 보조
64,2023-01-01,부전동삼정타워주변
65,2023-01-01,범천동e편한세상 보조
66,2023-01-01,전포동 태영아너스 주변
67,2023-01-01,범천동e편한세상 보조
68,2023-01-01,범천동e편한세상 보조
69,2023-01-01,골드테마거리 주변
70,2023-01-01,골드테마거리 주변
71,2023-01-01,전포동 태영아너스 주변
72,2023-01-01,가평초등학교 주변
73,2023-01-01,전포동 전포초등학교정문
74,2023-01-01,범천동 e편한세상 주변
75,2023-01-01,가평초등학교 주변
76,2023-01-01,범천동e편한세상 보조
77,2023-01-01,범천동e편한세상 보조
78,2023-01-01,연학초등학교
79,2023-01-01,전포동 전포초등학교정문
80,2023-01-01,범천동e편한세상 보조
81,2023-01-01,네오스포 주변
82,2023-01-01,네오스포 주변
83,2023-01-01,전포동 전포초등학교정문
84,2023-01-01,전포동 태영아너스 주변
85,2023-01-01,골드테마거리 주변
86,2023-01-01,동성초등학교
87,2023-01-01,네오스포 주변
88,2023-01-01,골드테마거리 주변
89,2023-01-01,범천동 e편한세상 주변
90,2023-01-01,범천동e편한세상 보조
91,2023-01-01,골드테마거리 주변
92,2023-01-01,범천동 e편한세상 주변
93,2023-01-01,범천동e편한세상 보조
94,2023-01-01,범천동e편한세상 보조
95,2023-01-01,동성초등학교
96,2023-01-01,골드테마거리 주변
97,2023-01-01,범천동e편한세상 보조
98,2023-01-01,네오스포 주변
99,2023-01-01,범천동e편한세상 보조
100,2023-01-01,가평초등학교 주변
101,2023-01-01,동성초등학교
102,2023-01-01,범천동 e편한세상 주변
103,2023-01-01,전포동 태영아너스 주변
104,2023-01-01,범천동e편한세상 보조
105,2023-01-01,범천동 e편한세상 주변
106,2023-01-01,범천동e편한세상 보조
107,2023-01-01,범천동 e편한세상 주변
108,2023-01-01,범천동e편한세상 보조
109,2023-01-01,범천동e편한세상 보조
110,2023-01-01,범천동e편한세상 보조
111,2023-01-01,범천동e편한세상 보조
112,2023-01-01,범천동e편한세상 보조
113,2023-01-01,범천동 e편한세상 주변
114,2023-01-01,전포동 전포초등학교정문
115,2023-01-01,전포동 태영아너스 주변
116,2023-01-01,범천동e편한세상 보조
117,2023-01-01,가평초등학교 주변
118,2023-01-01,네오스포 주변
119,2023-01-01,범천동e편한세상 보조
120,2023-01-01,골드테마거리 주변
121,2023-01-01,범천동e편한세상 보조
122,2023-01-01,전포동 전포초등학교정문
123,2023-01-01,전포동 태영아너스 주변
124,2023-01-01,범천동 e편한세상 주변
125,2023-01-01,동성초등학교
126,2023-01-01,동성초등학교
127,2023-01-01,전포롯데캐슬아파트부근
128,2023-01-01,부전동 부전역주변
129,2023-01-01,범천동 삼성생명앞
130,2023-01-01,부전동 부전역주변
131,2023-01-01,전포동 전포초등학교정문
132,2023-01-01,범천동 삼성생명앞
133,2023-01-01,풍림아이원아파트 주변
134,2023-01-01,범천동e편한세상 보조
135,2023-01-01,범천동 e편한세상 주변
136,2023-01-01,부전동삼정타워주변
137,2023-01-01,범천동 e편한세상 주변
138,2023-01-01,범천동 e편한세상 주변
139,2023-01-01,골드테마거리 주변
140,2023-01-01,가평초등학교 주변
141,2023-01-01,범천동 삼성생명앞
142,2023-01-01,네오스포 주변
143,2023-01-01,전포동 전포초등학교정문
144,2023-01-01,골드테마거리 주변
145,2023-01-01,풍림아이원아파트 주변
146,2023-01-01,전포동 태영아너스 주변
147,2023-01-01,부전동 부전역주변
148,2023-01-01,전포동 태영아너스 주변
149,2023-01-01,전포동 태영아너스 주변
150,2023-01-01,범천동e편한세상 보조
1059,2023-01-03,범천동e편한세상 보조
1060,2023-01-03,범천동 e편한세상 주변
151,2023-01-01,네오스포 주변
152,2023-01-01,범천동e편한세상 보조
153,2023-01-01,전포동 전포초등학교정문
154,2023-01-01,전포동 전포초등학교정문
155,2023-01-01,동성초등학교
156,2023-01-01,부전동 부전역주변
157,2023-01-01,전포동 전포초등학교정문
158,2023-01-01,범천동 e편한세상 주변
159,2023-01-01,전포롯데캐슬아파트부근
160,2023-01-01,범천동e편한세상 보조
161,2023-01-01,전포동 전포초등학교정문
162,2023-01-01,범천동 e편한세상 주변
163,2023-01-01,전포동 태영아너스 주변
164,2023-01-01,네오스포 주변
165,2023-01-01,전포롯데캐슬아파트부근
166,2023-01-01,연학초등학교
167,2023-01-01,아시아나타운
168,2023-01-01,동성초등학교
169,2023-01-01,가평초등학교 주변
170,2023-01-01,부전동 교보생명 주변
171,2023-01-01,가평초등학교 주변
172,2023-01-01,아시아나타운
173,2023-01-01,전포동 전포초등학교정문
174,2023-01-01,범천동e편한세상 보조
175,2023-01-01,전포동 전포초등학교정문
176,2023-01-01,부전동 춘하추동주변
177,2023-01-01,네오스포 주변
178,2023-01-01,아시아나타운
179,2023-01-01,범천동e편한세상 보조
180,2023-01-01,부전동삼정타워주변
181,2023-01-01,전포동 보아마트 앞
182,2023-01-01,범천동 e편한세상 주변
183,2023-01-01,가평초등학교 주변
184,2023-01-01,범천동 e편한세상 주변
185,2023-01-01,범천동 e편한세상 주변
186,2023-01-01,범천동e편한세상 보조
187,2023-01-01,당감동 당감사거리
188,2023-01-01,서면아이파크 보조
189,2023-01-01,부전동삼정타워주변
190,2023-01-01,전포동 태영아너스 주변
191,2023-01-01,네오스포 주변
192,2023-01-01,전포동 보아마트 앞
193,2023-01-01,아시아나타운
194,2023-01-01,네오스포 주변
195,2023-01-01,전포동 태영아너스 주변
196,2023-01-01,범천동 e편한세상 주변
197,2023-01-01,부전동삼정타워주변
198,2023-01-01,아시아나타운
199,2023-01-01,동성초등학교
200,2023-01-01,골드테마거리 주변
201,2023-01-01,초읍동 어린이대공원
202,2023-01-01,전포동 태영아너스 주변
203,2023-01-01,전포롯데캐슬아파트부근
204,2023-01-01,범천동e편한세상 보조
205,2023-01-01,전포동 전포초등학교정문
206,2023-01-01,동성초등학교
207,2023-01-01,네오스포 주변
208,2023-01-01,범천동 e편한세상 주변
209,2023-01-01,범천동 e편한세상 주변
210,2023-01-01,범천동e편한세상 보조
211,2023-01-01,전포동 태영아너스 주변
212,2023-01-01,범천동e편한세상 보조
213,2023-01-01,부전동 부산진경찰서
214,2023-01-01,범천동 e편한세상 주변
215,2023-01-01,전포동 태영아너스 주변
216,2023-01-01,전포동 보아마트 앞
217,2023-01-01,범천동e편한세상 보조
218,2023-01-01,부전동 영광도서주차장
219,2023-01-01,전포동 태영아너스 주변
220,2023-01-01,부전동삼정타워주변
221,2023-01-01,전포동 태영아너스 주변
222,2023-01-01,성북초등학교 후문주변
223,2023-01-01,범천동 e편한세상 주변
224,2023-01-01,네오스포 주변
225,2023-01-01,네오스포 주변
226,2023-01-01,전포동 태영아너스 주변
227,2023-01-01,골드테마거리 주변
228,2023-01-01,부전동삼정타워주변
229,2023-01-01,전포동 태영아너스 주변
230,2023-01-01,범천동e편한세상 보조
231,2023-01-01,가평초등학교 주변
232,2023-01-01,부전동삼정타워주변
233,2023-01-01,전포동 전포초등학교정문
234,2023-01-01,서면특화거리 경화빌딩앞
235,2023-01-01,동천로 경맥경찰학원
236,2023-01-01,동천로 놀이마루
237,2023-01-01,쥬디스태화 뒷편
238,2023-01-01,동천로 경맥경찰학원
239,2023-01-01,동천로 경맥경찰학원
240,2023-01-01,쥬디스태화 뒷편
241,2023-01-01,쥬디스태화 뒷편
242,2023-01-01,젊음의거리 CGV 주변
243,2023-01-01,서면특화거리 경화빌딩앞
244,2023-01-01,쥬디스태화 뒷편
245,2023-01-01,서면특화거리 경화빌딩앞
246,2023-01-01,동천로 경맥경찰학원
247,2023-01-01,아이온시티빌딩 주변
248,2023-01-01,젊음의거리 CGV 주변
249,2023-01-01,더샵센트럴스타 주변
250,2023-01-01,더샵센트럴스타 주변
251,2023-01-01,서면 포토피아슈퍼 주변
252,2023-01-01,주원초등학교
253,2023-01-01,서면 포토피아슈퍼 주변
254,2023-01-01,아이온시티빌딩 주변
255,2023-01-01,가야동 카페토파코 주변
256,2023-01-01,양정 대원칸타빌
257,2023-01-01,더샵센트럴스타 주변
258,2023-01-01,성서초등학교
259,2023-01-01,양정초등학교 주변
260,2023-01-01,부전1동 주민센터 주변
261,2023-01-01,아이온시티빌딩 주변
262,2023-01-01,서면중앙시장주변
263,2023-01-01,개금사거리
264,2023-01-01,개금현대아이아파트 주변
265,2023-01-01,아이온시티빌딩 주변
266,2023-01-01,개금현대아이아파트 주변
267,2023-01-01,아이온시티빌딩 주변
268,2023-01-01,아이온시티빌딩 주변
269,2023-01-01,더샵센트럴스타 주변
270,2023-01-01,일성인포아파트 부근
271,2023-01-01,서면 포토피아슈퍼 주변
272,2023-01-01,개금현대아이아파트 주변
273,2023-01-01,CU양정산호점 주변
274,2023-01-01,가야동 카페토파코 주변
275,2023-01-01,CU양정산호점 주변
276,2023-01-01,서면특화거리 경화빌딩앞
277,2023-01-01,서면중앙시장주변
278,2023-01-01,가야로 태화현대아파트
279,2023-01-01,아이사랑병원앞
280,2023-01-01,개금현대아이아파트 주변
281,2023-01-01,범천동CBS방송국
282,2023-01-01,서면중앙시장주변
283,2023-01-01,개금현대아이아파트 주변
284,2023-01-01,이마트트레이더스 주변
285,2023-01-01,부전동 마당집
286,2023-01-01,서면 동문굿모닝힐
287,2023-01-01,양정초등학교 주변
288,2023-01-01,서면중앙시장주변
289,2023-01-01,성서초등학교
290,2023-01-01,CU양정산호점 주변
291,2023-01-01,성서초등학교
292,2023-01-01,개금사거리
293,2023-01-01,거제대로 대원칸타빌주변
294,2023-01-01,더샵센트럴스타 주변
295,2023-01-01,동평사거리
296,2023-01-01,서면중앙시장주변
297,2023-01-01,아이온시티빌딩 주변
298,2023-01-01,동평사거리
299,2023-01-01,양정 대원칸타빌
300,2023-01-01,범천동 중앙시장앞 교차
1061,2023-01-03,아이사랑병원앞
1062,2023-01-03,전포롯데캐슬아파트부근
301,2023-01-01,부전동 마당집
302,2023-01-01,거제대로 대원칸타빌주변
303,2023-01-01,양정 대원칸타빌
304,2023-01-01,범천동 중앙시장앞 교차
305,2023-01-01,양정 대원칸타빌
306,2023-01-01,서면중앙시장주변
307,2023-01-01,부전동 마당집
308,2023-01-01,양정 대원칸타빌
309,2023-01-01,양정 대원칸타빌
310,2023-01-01,한일유엔아이아파트 주변
311,2023-01-01,개금현대아이아파트 주변
312,2023-01-01,양정 대원칸타빌
313,2023-01-01,개금현대아이아파트 주변
314,2023-01-01,개금현대아이아파트 주변
315,2023-01-01,아이온시티빌딩 주변
316,2023-01-01,양정 대원칸타빌
317,2023-01-01,서면중앙시장주변
318,2023-01-01,서면특화거리 경화빌딩앞
319,2023-01-01,범천동CBS방송국
320,2023-01-01,유엘부산호텔 주변
321,2023-01-01,서면중앙시장주변
322,2023-01-01,개금현대아이아파트 주변
323,2023-01-01,이마트트레이더스 주변
324,2023-01-01,국제백양아파트주변
325,2023-01-01,아이온시티빌딩 주변
326,2023-01-01,쥬디스태화 뒷편
327,2023-01-01,이마트트레이더스 주변
328,2023-01-01,이마트트레이더스 주변
329,2023-01-01,동천로 경맥경찰학원
330,2023-01-01,쥬디스태화 뒷편
331,2023-01-01,동천로 경맥경찰학원
332,2023-01-01,부전동 521-6 부근
333,2023-01-01,부전동 576-1 부근
334,2023-01-01,범천동 948-4 부근
335,2023-01-01,범천동 852 부근
336,2023-01-01,범천동 852 부근
337,2023-01-01,범천동 948-4 부근
338,2023-01-01,범천동 852 부근
339,2023-01-01,범천동 943-1 부근
340,2023-01-01,개금동 60-1 부근
341,2023-01-01,개금동 60-1 부근
342,2023-01-01,부암동 723 부근
343,2023-01-01,부암동 720 부근
344,2023-01-01,부암동 723 부근
345,2023-01-01,전포동 183-28 부근
346,2023-01-01,개금동 163-2 부근
347,2023-01-01,개금동 185-14 부근
348,2023-01-01,당감동 746 부근
349,2023-01-01,당감동 819-191 부근
350,2023-01-01,초읍동 645-10 부근
351,2023-01-01,개금동 163-2 부근
352,2023-01-01,가야동 679-1 부근
353,2023-01-01,개금동 201-2 부근
354,2023-01-01,개금동 875 부근
355,2023-01-01,가야동 303-4 부근
356,2023-01-01,가야동 231-3 부근
357,2023-01-01,가야동 49-4 부근
358,2023-01-01,가야동 413-8 부근
359,2023-01-01,전포동 877 부근
360,2023-01-01,부전동 573-1 부근
361,2023-01-01,부전동 191-1 부근
362,2023-01-01,개금동 875 부근
363,2023-01-01,부전동 573-1 부근
364,2023-01-01,부전동 573-1 부근
365,2023-01-01,부전동 165-2 부근
366,2023-01-01,전포동 668-1 부근
367,2023-01-01,전포동 660-1 부근
368,2023-01-01,전포동 876-4 부근
369,2023-01-01,전포동 877 부근
370,2023-01-01,전포동 876-7 부근
371,2023-01-01,부전동 573-1 부근
372,2023-01-01,부전동 573-1 부근
373,2023-01-01,부전동 573-1 부근
374,2023-01-01,부전동 573-1 부근
375,2023-01-01,부암동 304-3 부근
376,2023-01-01,부암동 333-22 부근
377,2023-01-01,부암동 333-15 부근
378,2023-01-01,부암동 443-22 부근
379,2023-01-01,범천동 1054-2 부근
380,2023-01-01,가야동 55-2 부근
381,2023-01-01,가야동 385-3 부근
382,2023-01-01,전포동 877 부근
383,2023-01-01,전포동 876-4 부근
384,2023-01-01,개금동 639 부근
385,2023-01-01,개금동 662 부근
386,2023-01-01,개금동 686 부근
387,2023-01-01,전포동 363-57 부근
388,2023-01-01,부전동 573-1 부근
389,2023-01-01,부전동 220-14 부근
390,2023-01-01,부전동 573-1 부근
391,2023-01-01,부전동 535-5 부근
392,2023-01-01,개금동 53 부근
393,2023-01-01,전포동 380-1 부근
394,2023-01-01,부전동 573-1 부근
395,2023-01-01,부전동 573-1 부근
396,2023-01-01,부전동 573-1 부근
397,2023-01-01,부전동 573-1 부근
398,2023-01-01,부전동 576-1 부근
399,2023-01-02,서면특화거리 경화빌딩앞
400,2023-01-02,서면특화거리 경화빌딩앞
401,2023-01-02,NC백화점 앞
402,2023-01-02,쥬디스태화 뒷편
403,2023-01-02,전포동 전포초등학교정문
404,2023-01-02,골드테마거리 주변
405,2023-01-02,전포동 전포초등학교정문
406,2023-01-02,개금현대아이아파트 주변
407,2023-01-02,가평초등학교 주변
408,2023-01-02,범천동e편한세상 보조
409,2023-01-02,부전동 부전역주변
410,2023-01-02,범천동e편한세상 보조
411,2023-01-02,전포동 태영아너스 주변
412,2023-01-02,범천동 e편한세상 주변
413,2023-01-02,범천동 e편한세상 주변
414,2023-01-02,범천동e편한세상 보조
415,2023-01-02,범천동e편한세상 보조
416,2023-01-02,범천동e편한세상 보조
417,2023-01-02,부전동삼정타워주변
418,2023-01-02,범천동 e편한세상 주변
419,2023-01-02,범천동e편한세상 보조
420,2023-01-02,전포동 태영아너스 주변
421,2023-01-02,범천동e편한세상 보조
422,2023-01-02,부전동삼정타워주변
423,2023-01-02,서면특화거리 경화빌딩앞
424,2023-01-02,범천동e편한세상 보조
425,2023-01-02,서면 포토피아슈퍼 주변
426,2023-01-02,범천동e편한세상 보조
427,2023-01-02,아이사랑병원앞
428,2023-01-02,네오스포 주변
429,2023-01-02,범천동e편한세상 보조
430,2023-01-02,개금현대아이아파트 주변
431,2023-01-02,범천동 e편한세상 주변
