위반일자,위반일시,위반장소명
2024-01-12 19:17,동삼동농협 주변 보조카,
2024-01-12 19:19,홈플러스영도점주변-3,
2024-01-12 19:38,4 농협영도지점주변,
2024-01-12 19:39,영선불고기-1,
2024-01-12 19:40,홈플러스영도점주변-4,
2024-01-12 06:23,남항동1가 232-42 교차로모퉁이,
2024-01-12 06:52,동삼동 1095-12 교차로모퉁이,
2024-01-12 10:05,영선동2가 192-5 교차로모퉁이,
2024-01-12 11:44,영선동4가 261-1 횡단보도,
2024-01-12 12:33,대교동2가 187-1 교차로모퉁이,
2024-01-12 12:53,동삼동 1123 횡단보도,
2024-01-12 14:22,동삼동 231-219 교차로모퉁이,
2024-01-12 15:17,동삼동 1123 횡단보도,
2024-01-12 17:49,동삼동 215-75 인도,
2024-01-12 17:51,동삼동 219-107 인도,
2024-01-12 17:24,동삼동 1153-1 횡단보도,
2024-01-12 21:49,동삼동 1122 횡단보도,
2024-01-12 22:16,봉래동2가151-1 버스정류소,
2024-01-12 20:40,동삼동1183 소화전,
2024-01-12 09:32,청학동1-147 소화전,
2024-01-13 09:10,동삼동농협 주변 보조카,
2024-01-13 09:40,대교초등학교 주변-2,
2024-01-13 10:03,Do한국해양교회,
2024-01-13 10:58,2 영도 메디컬빌딩 부근,
2024-01-13 11:05,홈플러스영도점주변-1,
2024-01-13 11:08,Do한국해양교회,
2024-01-13 11:12,Do한국해양교회,
2024-01-13 11:21,영선불고기-3,
2024-01-13 11:24,동삼동농협 주변 보조카,
2024-01-13 12:07,대교초등학교 주변-2,
2024-01-13 14:13,영선불고기-1,
2024-01-13 14:17,3 강남의원주변,
2024-01-13 14:24,영선불고기-3,
2024-01-13 14:58,봉래 에일린의뜰아파트 1,
2024-01-13 15:04,홈플러스영도점주변-3,
2024-01-13 15:26,2 남항사거리부근,
2024-01-13 16:34,대동대교맨션 주변-2,
2024-01-13 16:35,해양박물관 회전교차로,
2024-01-13 16:54,2 농협영도지점주변,
2024-01-13 16:58,동삼동농협 주변 보조카,
2024-01-13 16:59,동삼동 농협,
2024-01-13 17:27,대교초등학교 주변-2,
2024-01-13 17:43,동삼동 국민은행,
2024-01-13 18:45,영선불고기-1,
2024-01-13 18:47,2 남항사거리부근,
2024-01-13 18:51,대교초등학교 주변-3,
2024-01-13 18:52,영선불고기-1,
2024-01-13 19:06,4 남항사거리부근,
2024-01-13 19:10,대동대교맨션 주변-3,
2024-01-13 19:12,동삼동 국민은행,
2024-01-13 21:00,1 영도 메디컬빌딩 부근,
2024-01-13 21:38,2 영도 메디컬빌딩 부근,
2024-01-13 11:14,봉래동3가 절영로13번길,
2024-01-13 11:15,봉래동3가 태종로113번길,
2024-01-13 11:17,봉래동3가 절영로13번길,
2024-01-13 15:13,봉래동1가 절영로7번길,
2024-01-13 15:13,봉래동1가 절영로7번길,
2024-01-13 15:15,봉래동2가 태종로99번길,
2024-01-13 15:15,봉래동3가 절영로7번길,
2024-01-13 15:43,영선동3가 절영로101번길,
2024-01-13 15:44,영선동3가 절영로101번길,
2024-01-13 15:45,영선동3가 절영로101번길,
2024-01-13 16:53,청학동 해양로,
2024-01-13 16:53,청학동 해양로,
2024-01-13 12:36,봉래동1가 48-15 교차로모퉁이,
2024-01-13 13:07,영선동4가 261-1 인도,
2024-01-13 14:59,동삼동 232-26 횡단보도,
2024-01-13 15:02,남항동1가 71 교차로모퉁이,
2024-01-13 15:10,동삼동 363-16 횡단보도,
2024-01-13 15:15,남항동2가 273-1 교차로모퉁이,
2024-01-13 15:04,동삼동 327-3 인도,
2024-01-13 15:04,동삼동 332-26 인도,
2024-01-13 15:36,동삼동 266-5 인도,
2024-01-13 16:46,동삼동 232-9 인도,
2024-01-13 17:11,동삼동 229-3 인도,
2024-01-13 17:13,동삼동 229-203 인도,
2024-01-13 18:41,동삼동 330-3 인도,
2024-01-13 18:43,동삼동 979-11 인도,
2024-01-13 19:42,동삼동 979-11 인도,
2024-01-13 15:18,동삼동 1149 횡단보도,
2024-01-13 15:20,동삼동 510-39 횡단보도,
2024-01-13 15:24,동삼동 1149 교차로모퉁이,
2024-01-13 15:39,동삼동 1184 횡단보도,
2024-01-13 18:37,동삼동 231-223 인도,
2024-01-13 18:47,동삼동 327 횡단보도,
2024-01-13 17:19,신선동1가211-32 버스정류소,
2024-01-13 15:12,동삼동363-4 버스정류소,
2024-01-13 18:26,청학동 147-39 교차로모퉁이,
2024-01-13 06:20,남항동1가 186-1 교차로모퉁이,
2024-01-14 07:17,태종대회전교차로주변-4,
2024-01-14 07:30,태종대회전교차로주변-3,
2024-01-14 07:31,1 영도 메디컬빌딩 부근,
2024-01-14 08:13,영선불고기-1,
2024-01-14 08:13,동삼동농협 주변 보조카,
2024-01-14 08:15,동삼동농협 주변 보조카,
2024-01-14 09:36,영선윗로타리 중앙-1,
2024-01-14 09:55,민재약국앞-1,
2024-01-14 10:23,영선불고기-3,
2024-01-14 10:51,4 농협영도지점주변,
2024-01-14 11:12,2 영도 메디컬빌딩 부근,
2024-01-14 11:28,동삼동농협 주변 보조카,
2024-01-14 11:37,민재약국앞-1,
2024-01-14 12:49,대교초등학교 주변-2,
2024-01-14 13:36,대교초등학교 주변-2,
2024-01-14 14:31,영선아파트주변-2,
2024-01-14 14:51,3 농협영도지점주변,
2024-01-14 15:01,봉래교차로-1,
2024-01-14 15:20,태종대회전교차로주변-4,
2024-01-14 15:29,민재약국앞-1,
2024-01-14 15:55,태종대회전교차로주변-3,
2024-01-14 16:09,민재약국앞-1,
2024-01-14 16:36,민재약국앞-1,
2024-01-14 16:49,영선불고기-2,
