부서명,단속일시,단속장소주소
교통행정과,2023-01-04 14:38:00,구서동 중앙대로
교통행정과,2023-01-04 14:40:00,장전동 금강로279번길
교통행정과,2023-01-04 14:43:00,장전동 부산대학로64번길
교통행정과,2023-01-04 14:43:00,부곡동 부곡로142번길
교통행정과,2023-01-04 14:43:00,부곡동 부곡로142번길
교통행정과,2023-01-04 14:53:00,부곡동 서동로
교통행정과,2023-01-04 15:04:00,장전동 금강로321번길
교통행정과,2023-01-04 15:15:00,서동 서동로
교통행정과,2023-01-04 15:28:00,서동 서부로
교통행정과,2023-01-04 15:29:00,서동 서부로16번길
교통행정과,2023-01-04 15:30:00,서동 서부로16번길
교통행정과,2023-01-04 15:31:00,서동 서부로
교통행정과,2023-01-04 15:37:00,구서동 금강로446번길
교통행정과,2023-01-04 15:37:00,부곡동 중앙대로1793번길
교통행정과,2023-01-04 15:37:00,부곡동 중앙대로1793번길
교통행정과,2023-01-04 15:37:00,부곡동 중앙대로1793번길
교통행정과,2023-01-04 15:38:00,부곡동 중앙대로1793번길
교통행정과,2023-01-04 15:38:00,부곡동 중앙대로1793번길
교통행정과,2023-01-04 15:43:00,구서동 중앙대로1929번길
교통행정과,2023-01-04 15:44:00,서동 서부로58번길
교통행정과,2023-01-04 15:45:00,서동 서금로
교통행정과,2023-01-04 15:46:00,구서동 금강로565번길
교통행정과,2023-01-04 16:16:00,장전동 금강로279번길
교통행정과,2023-01-04 16:19:00,장전동 금강로
교통행정과,2023-01-04 16:25:00,장전동 금정로
교통행정과,2023-01-04 16:25:00,장전동 금정로
교통행정과,2023-01-04 16:26:00,장전동 부산대학로49번길
교통행정과,2023-01-04 16:27:00,장전동 부산대학로49번길
교통행정과,2023-01-04 16:28:00,장전동 금정로91번길
교통행정과,2023-01-04 16:29:00,청룡동 놀이마당로
교통행정과,2023-01-04 16:29:00,청룡동 남산냇길
교통행정과,2023-01-04 16:29:00,장전동 금강로279번안길
교통행정과,2023-01-04 16:41:00,장전동 부산대학로49번길
교통행정과,2023-01-04 16:41:00,장전동 부산대학로49번길
교통행정과,2023-01-04 16:43:00,장전동 부산대학로50번길
교통행정과,2023-01-04 16:43:00,남산동 금샘로
교통행정과,2023-01-04 16:43:00,남산동 금샘로
교통행정과,2023-01-04 16:44:00,장전동 부산대학로64번길
교통행정과,2023-01-04 16:47:00,남산동 금강로
교통행정과,2023-01-04 16:48:00,남산동 금강로
교통행정과,2023-01-04 16:48:00,남산동 금강로
교통행정과,2023-01-04 16:48:00,남산동 금강로
교통행정과,2023-01-04 16:49:00,남산동 범어천로
교통행정과,2023-01-04 16:49:00,남산동 범어천로
교통행정과,2023-01-04 16:50:00,남산동 팔송로7번길
교통행정과,2023-01-04 16:51:00,남산동 범어천로28번길
교통행정과,2023-01-04 16:51:00,남산동 범어천로
교통행정과,2023-01-04 16:51:00,남산동 범어천로
교통행정과,2023-01-04 16:54:00,남산동 남산로
교통행정과,2023-01-04 16:54:00,남산동 남산로
교통행정과,2023-01-04 17:10:00,장전동 부산대학로50번길
교통행정과,2023-01-04 17:10:00,장전동 부산대학로50번길
교통행정과,2023-01-04 17:15:00,장전동 금강로279번길
교통행정과,2023-01-04 20:12:00,구서동 수림로72번길
교통행정과,2023-01-04 20:13:00,구서동 수림로72번길
교통행정과,2023-01-04 20:13:00,구서동 수림로72번길
교통행정과,2023-01-04 20:21:00,구서동 중앙대로1841번길
교통행정과,2023-01-04 21:03:00,장전동 부산대학로63번길
교통행정과,2023-01-04 21:03:00,장전동 부산대학로63번길
교통행정과,2023-01-04 21:05:00,장전동 금강로
교통행정과,2023-01-04 21:05:00,장전동 부산대학로64번길
교통행정과,2023-01-04 21:08:00,장전동 장전온천천로
교통행정과,2023-01-04 17:35:00,두구동 산 80
교통행정과,2023-01-04 14:36:00,두구동 산 80
