읍면동,자동차 등록 대수,인구수,횡단보도 개수,음식점 수,버스정류장 개수,음주 교동사고 건수,음주운전 적발 건수,year
용호1동,17493,44281,44,89,41,4.67,4.69,2021
용호2동,6585,16850,8,34,33,1.78,1.78,2021
용호3동,3707,12228,3,37,13,1.29,1.29,2021
용호4동,2757,8542,9,12,12,0.9,0.9,2021
우1동,33869,22426,27,81,35,7.92,3.95,2021
우2동,14575,30613,76,125,46,10.81,5.4,2021
우암동,4842,12818,12,62,52,1.35,1.36,2021
우제3동,10055,28855,45,15,11,10.19,5.09,2021
일광읍,12773,25817,21,102,143,7.27,6.8,2021
장림1동,5469,10720,24,57,53,2.53,1.68,2021
장림2동,10782,27335,22,59,79,6.46,4.27,2021
장안읍,6717,8608,48,74,123,2.42,2.27,2021
장전1동,5221,18053,10,47,19,2.54,2.35,2021
장전2동,9975,26706,35,83,61,3.76,3.48,2021
재송1동,17314,37812,46,76,66,13.36,6.67,2021
재송2동,9545,24725,12,48,31,8.73,4.36,2021
전포1동,8222,21776,24,86,64,6.14,3,2021
전포2동,6711,20853,20,49,45,5.88,2.88,2021
정관읍,36891,81932,162,171,194,23.06,21.57,2021
좌1동,6679,18104,50,92,35,6.4,3.19,2021
좌2동,11498,32065,30,50,33,11.33,5.65,2021
좌3동,5988,16150,21,6,18,5.71,2.85,2021
좌4동,8863,23142,20,18,26,8.18,4.08,2021
좌천동,3397,10783,5,9,21,0.44,0.64,2021
주례1동,6515,15160,13,30,45,5.53,3.52,2021
주례2동,7810,23075,5,41,60,8.41,5.35,2021
주례3동,4673,13154,7,32,35,4.79,3.05,2021
중1동,11382,27743,43,144,36,9.8,4.89,2021
중2동,6833,15944,4,50,44,5.63,2.81,2021
중앙동,27999,2937,9,88,22,0.47,0.19,2021
철마면,3851,7922,13,48,91,2.23,2.09,2021
청룡노포동,4391,9733,16,29,39,1.37,1.27,2021
청학1동,2518,6113,8,13,20,0.65,0.53,2021
청학2동,5726,17625,19,39,62,1.89,1.54,2021
초량1동,14942,5027,2,20,0,0.2,0.3,2021
초량2동,3032,5701,2,37,14,0.23,0.34,2021
초량3동,5942,13029,14,59,26,0.53,0.77,2021
초량6동,1635,5953,2,9,14,0.24,0.35,2021
초읍동,7378,22133,17,83,55,6.24,3.05,2021
초장동,854,4271,1,2,8,0.45,0.16,2021
충무동,2714,9896,15,33,15,1.03,0.38,2021
하단1동,8110,21531,25,51,17,5.09,3.37,2021
하단2동,8542,25356,21,105,41,5.99,3.97,2021
학장동,12505,28294,34,49,63,10.31,6.57,2021
화명1동,18544,41610,11,33,32,11.17,6.69,2021
화명2동,6396,17112,11,32,50,4.59,2.75,2021
화명3동,11718,29748,60,94,22,7.98,4.78,2021
가덕도동,2527,4130,4,24,88,1.31,0.88,2022
가락동,2082,2240,33,13,57,0.71,0.48,2022
가야1동,5378,18525,14,37,13,6.13,2.61,2022
가야2동,6053,17988,8,38,18,5.95,2.53,2022
감만1동,6938,10590,14,23,40,0.97,1.42,2022
감만2동,2043,6716,8,10,19,0.62,0.9,2022
감전동,11707,12787,54,63,52,3.35,3.21,2022
감천1동,6498,17846,27,38,44,5.04,2.48,2022
감천2동,1470,5639,1,5,13,1.59,0.78,2022
강동동,2982,4081,13,29,86,1.3,0.87,2022
개금1동,5371,16486,9,63,27,5.46,2.32,2022
개금2동,3332,10556,1,17,17,3.49,1.48,2022
개금3동,9660,27885,15,24,42,9.23,3.92,2022
거제1동,34469,28471,35,44,35,3.19,2.36,2022
거제2동,6999,11756,16,23,50,1.32,0.97,2022
거제3동,3616,9684,11,29,13,1.09,0.8,2022
거제4동,6075,10001,4,8,15,1.12,0.83,2022
광복동,325,941,0,41,0,0.15,0.08,2022
광안1동,54797,25724,5,56,16,6.2,4.3,2022
광안2동,13270,18789,26,60,20,4.53,3.14,2022
광안3동,4284,9581,6,52,20,2.31,1.6,2022
광안4동,4485,13584,0,17,14,3.27,2.27,2022
괘법동,9205,23504,27,110,37,6.15,5.9,2022
괴정1동,6096,18840,10,39,25,5.32,2.62,2022
괴정2동,4901,15476,1,15,21,4.37,2.15,2022
괴정3동,3367,12042,8,35,15,3.4,1.68,2022
괴정4동,3699,11900,15,18,16,3.36,1.66,2022
구서1동,8999,19234,22,63,36,2.38,2.75,2022
구서2동,12475,32027,13,48,34,3.96,4.59,2022
구평동,6664,12786,31,14,74,3.61,1.78,2022
구포1동,6306,15947,14,74,27,5.33,2.89,2022
구포2동,9036,24551,17,58,40,8.21,4.45,2022
구포3동,6594,19051,6,30,33,6.37,3.46,2022
금곡동,12804,36742,44,39,62,12.29,6.67,2022
금사회동,5967,7554,9,41,52,0.93,1.08,2022
금성동,490,1000,0,31,24,0.12,0.14,2022
기장읍,24032,53029,82,265,222,16.7,17.59,2022
남부민1동,1428,4700,9,21,13,0.55,0.39,2022
남부민2동,2122,8573,4,15,17,1.01,0.71,2022
남산동,10589,27568,22,88,54,3.41,3.95,2022
남천1동,7187,15564,13,91,30,3.75,2.6,2022
남천2동,4840,11731,10,28,10,2.83,1.96,2022
남포동,438,853,4,78,15,0.13,0.08,2022
남항동,3560,10621,22,61,44,0.84,1.27,2022
녹산동,27141,35747,330,144,428,11.35,7.58,2022
다대1동,15079,37674,43,109,93,10.63,5.24,2022
다대2동,9306,26378,4,52,40,7.44,3.67,2022
당감1동,7129,22231,14,68,32,7.36,3.13,2022
당감2동,3354,10029,3,13,4,3.32,1.41,2022
당감4동,3769,10985,19,23,34,3.64,1.55,2022
당리동,9222,25613,17,76,43,7.23,3.56,2022
대연1동,5843,15817,16,80,30,1.45,2.12,2022
대연3동,11963,33110,43,144,66,3.04,4.43,2022
대연4동,4046,12017,12,25,42,1.1,1.61,2022
대연5동,5151,16828,5,49,29,1.55,2.25,2022
대연6동,5673,14955,9,20,29,1.37,2,2022
대저1동,6060,6196,35,41,123,1.97,1.31,2022
대저2동,8997,6960,52,50,119,2.21,1.48,2022
대청동,1422,6082,10,12,17,0.95,0.54,2022
덕천1동,4083,11759,21,30,30,3.93,2.13,2022
덕천2동,3676,11577,21,80,30,3.87,2.1,2022
덕천3동,2950,10424,6,11,17,3.49,1.89,2022
덕포1동,3572,8392,9,22,20,2.2,2.11,2022
덕포2동,4959,12583,17,23,30,3.29,3.16,2022
동광동,729,2549,2,16,6,0.4,0.23,2022
동대신1동,1599,5513,8,7,10,0.65,0.46,2022
동대신2동,1942,6979,8,18,19,0.82,0.58,2022
동대신3동,2034,7491,5,25,32,0.88,0.62,2022
동삼1동,8703,26706,29,71,91,2.11,3.18,2022
동삼2동,1688,4697,8,23,18,0.37,0.56,2022
동삼3동,2188,9335,7,7,37,0.74,1.11,2022
만덕1동,6866,16601,21,19,27,5.55,3.01,2022
만덕2동,10431,26996,14,38,56,9.03,4.9,2022
만덕3동,6844,18204,10,36,25,6.09,3.3,2022
망미1동,9353,27034,9,46,49,6.52,4.52,2022
망미2동,3976,10363,18,25,30,2.5,1.73,2022
명륜동,10300,26401,13,73,52,3.82,3.23,2022
명장1동,4929,13818,7,25,31,2.03,1.72,2022
명장2동,4783,14390,18,9,44,1.96,1.66,2022
명지1동,25150,53652,31,127,126,17.03,11.38,2022
명지2동,13946,30201,58,58,64,9.59,6.41,2022
모라1동,10774,27327,27,78,55,7.15,6.86,2022
모라3동,2279,9774,6,3,20,2.56,2.45,2022
문현1동,5745,12180,7,20,17,1.12,1.63,2022
문현2동,2762,8214,20,16,20,0.76,1.1,2022
문현3동,5781,16706,5,21,13,1.54,2.24,2022
문현4동,3082,8513,10,18,35,0.78,1.14,2022
민락동,11481,28149,31,113,29,6.79,4.71,2022
반송1동,4415,13196,20,45,46,3.08,2.67,2022
반송2동,6875,22331,12,44,25,5.21,4.51,2022
반여1동,16116,34629,60,76,70,8.08,7,2022
반여2동,5647,12192,9,37,16,2.84,2.46,2022
반여3동,2174,8209,2,20,2,1.91,1.66,2022
반여4동,6372,15270,7,5,32,3.56,3.09,2022
범일1동,4227,11408,8,23,42,1.18,0.53,2022
범일2동,2705,7837,18,67,28,0.81,0.36,2022
범일5동,1919,4224,10,7,22,0.44,0.2,2022
범천1동,4078,12439,19,61,16,4.12,1.75,2022
범천2동,7174,21811,23,9,28,7.22,3.07,2022
보수동,2390,10345,27,23,30,1.61,0.92,2022
복산동,2788,8959,9,15,32,2.2,1.86,2022
봉래1동,1971,6532,3,36,14,0.52,0.78,2022
봉래2동,2322,7624,1,3,26,0.6,0.91,2022
부곡1동,3113,8027,8,11,14,0.99,1.15,2022
부곡2동,6463,17613,10,17,13,2.18,2.52,2022
부곡3동,6339,15350,7,55,53,1.9,2.2,2022
부곡4동,3854,12359,9,18,17,1.53,1.77,2022
부민동,2030,7447,12,36,14,0.87,0.62,2022
부암1동,8294,22918,25,24,36,7.58,3.22,2022
부암3동,5997,16970,11,22,31,5.62,2.39,2022
부전1동,30921,15768,22,143,52,5.22,2.22,2022
부전2동,5146,10699,15,216,26,3.54,1.5,2022
부평동,1039,4374,14,64,6,0.68,0.39,2022
사직1동,3892,10309,8,30,24,2.5,2.12,2022
사직2동,9941,25526,18,43,56,6.04,5.12,2022
사직3동,5698,17181,12,43,26,4.7,3.98,2022
삼락동,3134,5569,16,33,38,1.46,1.4,2022
서1동,1563,4979,3,8,10,0.61,0.71,2022
서2동,2632,8814,3,30,15,1.09,1.26,2022
서3동,3124,10782,6,33,17,1.33,1.54,2022
서대신1동,4724,14808,7,28,31,1.74,1.23,2022
서대신3동,2576,7658,6,14,24,0.9,0.64,2022
서대신4동,2453,7403,6,33,26,0.87,0.62,2022
선두구동,1509,2218,3,17,42,0.27,0.32,2022
송정동,4286,9621,11,72,28,2.24,1.94,2022
수민동,11697,31658,22,38,39,7.02,5.94,2022
수영동,4833,14287,12,60,21,3.44,2.39,2022
수정1동,1384,4033,4,10,6,0.42,0.19,2022
수정2동,2677,9505,3,54,34,0.98,0.44,2022
수정4동,863,3703,3,5,14,0.38,0.17,2022
수정5동,1185,5056,2,3,27,0.52,0.23,2022
신선동,1665,7810,0,6,47,0.62,0.93,2022
신평1동,7925,16289,33,42,30,4.6,2.27,2022
신평2동,7530,17588,29,39,35,4.96,2.45,2022
아미동,1473,6181,4,8,51,0.73,0.51,2022
안락1동,5863,14095,22,51,27,2.42,2.05,2022
안락2동,10070,26457,31,59,47,4.17,3.53,2022
암남동,6052,14649,25,43,51,1.72,1.22,2022
양정1동,6776,19311,15,45,54,6.39,2.72,2022
양정2동,3507,11751,9,41,25,3.89,1.65,2022
엄궁동,11727,25411,19,54,36,6.65,6.38,2022
연산1동,21172,16478,21,45,13,1.85,1.36,2022
연산2동,13552,19941,18,27,43,2.24,1.65,2022
연산3동,3564,10914,1,5,32,1.22,0.9,2022
연산4동,4774,15844,8,63,26,1.78,1.31,2022
연산5동,6007,16331,12,68,15,1.83,1.35,2022
연산6동,4834,16304,10,20,32,1.83,1.35,2022
