year,month,day,hour,value
2021,1, 8,300.0,-5.2
2021,1, 8,400.0,-4.1
2021,1, 8,500.0,-3.7
2021,1, 8,600.0,-3.3
2021,1, 8,700.0,-4.8
2021,1, 8,800.0,-5.3
2021,1, 8,900.0,-6.1
2021,1, 8,1000.0,-6.7
2021,1, 8,1100.0,-7.2
2021,1, 8,1200.0,-7.8
2021,1, 8,1300.0,-8.4
2021,1, 8,1400.0,-8.7
2021,1, 8,1500.0,-8.9
2021,1, 8,1600.0,-9.3
2021,1, 8,1700.0,-9.5
2021,1, 8,1800.0,-9.9
2021,1, 8,1900.0,-9.6
2021,1, 8,2000.0,-9.8
2021,1, 8,2100.0,-9.9
2021,1, 8,2200.0,-8.6
2021,1, 8,2300.0,-7.3
2021,1, 9,0.0,-6.8
2021,1, 9,100.0,-5.3
2021,1, 9,200.0,-4.3
2021,1, 9,300.0,-2.5
2021,1, 9,400.0,-1.2
2021,1, 9,500.0,0.0
2021,1, 9,600.0,-0.9
2021,1, 9,700.0,-2.2
2021,1, 9,800.0,-2.4
2021,1, 9,900.0,-3.3
2021,1, 9,1000.0,-4.7
2021,1, 9,1100.0,-5.4
2021,1, 9,1200.0,-5.8
2021,1, 9,1300.0,-6.4
2021,1, 9,1400.0,-6.5
2021,1, 9,1500.0,-6.7
2021,1, 9,1600.0,-6.9
2021,1, 9,1700.0,-7.0
2021,1, 9,1800.0,-7.4
2021,1, 9,1900.0,-7.4
2021,1, 9,2000.0,-7.0
2021,1, 9,2100.0,-7.3
2021,1, 9,2200.0,-6.3
2021,1, 9,2300.0,-4.1
2021,1, 10,0.0,-2.3
2021,1, 10,100.0,-0.4
2021,1, 10,200.0,1.2
2021,1, 10,300.0,1.4
2021,1, 10,400.0,2.2
2021,1, 10,500.0,3.3
2021,1, 10,600.0,2.2
2021,1, 10,700.0,0.8
2021,1, 10,800.0,-0.5
2021,1, 10,900.0,-1.1
2021,1, 10,1000.0,-0.8
2021,1, 10,1100.0,-1.1
2021,1, 10,1200.0,-1.4
2021,1, 10,1300.0,-1.4
2021,1, 10,1400.0,-1.4
2021,1, 10,1500.0,-1.6
2021,1, 10,1600.0,-1.3
2021,1, 10,1700.0,-1.8
2021,1, 10,1800.0,-2.3
2021,1, 10,1900.0,-2.6
2021,1, 10,2000.0,-2.1
2021,1, 10,2100.0,-2.0
2021,1, 10,2200.0,-1.9
2021,1, 10,2300.0,0.0
2021,1, 11,0.0,1.3
2021,1, 11,100.0,2.6
2021,1, 11,200.0,3.1
2021,1, 11,300.0,3.6
2021,1, 11,400.0,3.8
2021,1, 11,500.0,3.3
2021,1, 11,600.0,2.7
2021,1, 11,700.0,2.3
2021,1, 11,800.0,1.4
2021,1, 11,900.0,0.3
2021,1, 11,1000.0,0.2
2021,1, 11,1100.0,0.5
2021,1, 11,1200.0,0.3
2021,1, 11,1300.0,-0.5
2021,1, 11,1400.0,-1.1
2021,1, 11,1500.0,-1.1
2021,1, 11,1600.0,-1.5
2021,1, 11,1700.0,-2.1
2021,1, 11,1800.0,-2.5
2021,1, 11,1900.0,-2.5
2021,1, 11,2000.0,-2.8
2021,1, 11,2100.0,-3.3
2021,1, 11,2200.0,-1.8
2021,1, 11,2300.0,0.6
2021,1, 12,0.0,3.2
2021,1, 12,100.0,2.1
2021,1, 12,200.0,3.9
2021,1, 12,300.0,4.0
2021,1, 12,400.0,3.8
2021,1, 12,500.0,4.9
2021,1, 12,600.0,4.2
2021,1, 12,700.0,3.1
2021,1, 12,800.0,2.6
2021,1, 12,900.0,1.8
2021,1, 12,1000.0,2.3
2021,1, 12,1100.0,2.4
2021,1, 12,1200.0,2.3
2021,1, 12,1300.0,2.1
2021,1, 12,1400.0,1.8
2021,1, 12,1500.0,1.7
2021,1, 12,1600.0,1.6
2021,1, 12,1700.0,1.5
2021,1, 12,1800.0,1.8
2021,1, 12,1900.0,1.9
2021,1, 12,2000.0,2.2
2021,1, 12,2100.0,2.3
2021,1, 12,2200.0,2.1
2021,1, 12,2300.0,5.0
2021,1, 13,0.0,6.3
2021,1, 13,100.0,7.8
2021,1, 13,200.0,9.3
2021,1, 13,300.0,10.4
2021,1, 13,400.0,11.1
2021,1, 13,500.0,11.6
2021,1, 13,600.0,10.9
2021,1, 13,700.0,10.2
2021,1, 13,800.0,9.9
2021,1, 13,900.0,10.0
2021,1, 13,1000.0,9.9
2021,1, 13,1100.0,9.7
2021,1, 13,1200.0,9.1
2021,1, 13,1300.0,8.7
2021,1, 13,1400.0,8.0
2021,1, 13,1500.0,7.7
2021,1, 13,1600.0,6.7
2021,1, 13,1700.0,6.6
2021,1, 13,1800.0,6.1
2021,1, 13,1900.0,5.8
2021,1, 13,2000.0,6.0
2021,1, 13,2100.0,5.1
2021,1, 13,2200.0,5.3
2021,1, 13,2300.0,7.5
2021,1, 14,0.0,10.8
2021,1, 14,100.0,13.1
2021,1, 14,200.0,13.8
2021,1, 14,300.0,13.3
2021,1, 14,400.0,13.6
2021,1, 14,500.0,13.4
2021,1, 14,600.0,12.8
2021,1, 14,700.0,10.4
2021,1, 14,800.0,9.4
2021,1, 14,900.0,8.6
2021,1, 14,1000.0,7.6
2021,1, 14,1100.0,7.2
2021,1, 14,1200.0,7.0
2021,1, 14,1300.0,6.5
2021,1, 14,1400.0,7.2
2021,1, 14,1500.0,7.7
2021,1, 14,1600.0,7.6
2021,1, 14,1700.0,7.3
2021,1, 14,1800.0,7.3
2021,1, 14,1900.0,7.8
2021,1, 14,2000.0,8.0
2021,1, 14,2100.0,8.9
2021,1, 14,2200.0,9.5
2021,1, 14,2300.0,11.5
2021,1, 15,0.0,13.7
2021,1, 15,100.0,14.3
2021,1, 15,200.0,13.6
2021,1, 15,300.0,13.6
2021,1, 15,400.0,15.3
2021,1, 15,500.0,15.2
2021,1, 15,600.0,14.7
2021,1, 15,700.0,14.4
2021,1, 15,800.0,13.8
2021,1, 15,900.0,13.6
2021,1, 15,1000.0,13.4
2021,1, 15,1100.0,12.8
2021,1, 15,1200.0,12.4
2021,1, 15,1300.0,12.2
2021,1, 15,1400.0,11.9
