읍면동,자동차 등록 대수,인구수,횡단보도 개수,음식점 수,버스정류장 개수,음주 교동사고 건수,음주운전 적발 건수,year
일광읍,14999,29676,21,390,143,7.33,9.61,2023
장림1동,5458,10151,22,183,53,2.35,1.47,2023
장림2동,10504,26031,43,200,79,6.04,3.77,2023
장안읍,8896,8846,48,229,123,2.18,2.86,2023
장전1동,5148,17888,35,278,19,2.66,2.54,2023
장전2동,9638,25710,3,520,61,3.83,3.65,2023
재송1동,17507,36820,10,312,66,9.97,7.13,2023
재송2동,9167,22845,1,192,31,6.19,4.42,2023
전포1동,7965,20809,11,552,64,5.03,3.04,2023
전포2동,7756,23354,25,279,45,5.64,3.41,2023
정관읍,37645,80372,162,787,194,19.85,26.02,2023
좌1동,6630,17395,21,393,35,4.71,3.37,2023
좌2동,11410,30735,20,240,33,8.32,5.95,2023
좌3동,5877,15349,11,62,18,4.16,2.97,2023
좌4동,8744,22210,60,73,26,6.02,4.3,2023
좌천동,3622,11333,8,42,21,0.9,0.48,2023
주례1동,7218,16590,13,93,45,3.91,4.12,2023
주례2동,7509,21774,5,247,60,5.13,5.41,2023
주례3동,4480,12284,7,127,35,2.9,3.05,2023
중1동,11465,27215,50,538,36,7.37,5.27,2023
중2동,6793,15243,30,166,44,4.13,2.95,2023
중앙동,31618,2937,9,351,22,0.03,0.28,2023
철마면,3860,7683,13,84,91,1.9,2.49,2023
청룡노포동,4450,9473,16,101,39,1.41,1.35,2023
청학1동,2623,5497,29,29,20,0.5,0.59,2023
청학2동,5733,16765,8,110,62,1.53,1.78,2023
초량1동,15247,4828,2,107,0,0.38,0.2,2023
초량2동,5450,5299,14,192,14,0.42,0.22,2023
초량3동,5393,12500,2,218,26,0.99,0.53,2023
초량6동,2775,5398,4,25,14,0.43,0.23,2023
초읍동,7277,20650,9,213,55,4.99,3.02,2023
초장동,765,3903,0,8,8,0.37,0.3,2023
충무동,2724,9607,9,198,15,0.91,0.73,2023
하단1동,8203,21427,33,223,17,4.97,3.1,2023
하단2동,8573,25147,0,476,41,5.83,3.64,2023
학장동,12082,26579,34,206,63,6.27,6.61,2023
화명1동,18578,40118,60,123,32,11.03,6.6,2023
화명2동,6772,17292,21,122,50,4.75,2.84,2023
화명3동,11656,28554,21,348,22,7.85,4.7,2023
