읍면동,자동차 등록 대수,인구수,횡단보도 개수,음식점 수,버스정류장 개수,음주 교통사고 건수,음주운전 적발 건수
선두구동,1516,2331,3,16,42,0.33,0.3
송정동,4351,9916,11,70,28,3.5,1.75
수민동,11905,32558,22,40,39,7.74,6.24
수영동,4976,14651,12,58,21,2.93,2.2
수정1동,1391,4160,4,10,6,0.17,0.25
수정2동,2649,9819,3,55,34,0.4,0.58
수정4동,893,3902,3,5,14,0.16,0.23
수정5동,1200,5306,2,3,27,0.22,0.31
신선동,1729,8321,0,6,47,0.89,0.73
신평1동,7837,16925,33,44,30,4,2.65
신평2동,6765,15747,29,41,35,3.72,2.46
아미동,1191,6607,4,6,51,0.69,0.25
안락1동,5942,14560,22,51,27,2.67,2.15
안락2동,10176,27185,31,58,47,4.56,3.68
암남동,4831,12772,25,43,51,1.33,0.49
양정1동,6929,20028,15,46,54,5.64,2.76
양정2동,3569,11985,9,39,25,3.38,1.65
엄궁동,12126,27061,19,53,36,9.86,6.28
연산1동,10493,16775,21,46,13,1.46,1.61
연산2동,9173,20674,18,26,43,1.8,1.98
연산3동,2649,9160,1,5,32,0.8,0.88
연산4동,4843,16154,8,65,26,1.4,1.55
연산5동,5565,16588,12,64,15,1.44,1.59
연산6동,4928,16699,10,21,32,1.45,1.6
연산8동,5205,14138,13,21,13,1.23,1.36
연산9동,14487,35075,35,62,31,3.05,3.36
연지동,7477,20607,16,25,22,5.81,2.84
영선1동,1064,3995,12,30,22,0.43,0.35
영선2동,2411,8287,9,12,22,0.89,0.72
영주1동,1368,4693,7,12,7,0.75,0.31
영주2동,1825,7046,2,6,22,1.13,0.46
온천1동,7601,20551,18,85,48,2.96,2.39
온천2동,5445,14933,9,48,82,2.23,1.8
온천3동,13189,38542,20,54,57,5.5,4.44
용당동,6143,8249,22,20,37,0.87,0.87
용호1동,17493,44281,44,89,41,4.67,4.69
용호2동,6585,16850,8,34,33,1.78,1.78
용호3동,3707,12228,3,37,13,1.29,1.29
용호4동,2757,8542,9,12,12,0.9,0.9
우1동,33869,22426,27,81,35,7.92,3.95
우2동,14575,30613,76,125,46,10.81,5.4
우3동,10055,28855,45,62,11,10.19,5.09
우암동,4842,12818,12,15,52,1.35,1.36
일광읍,12773,25817,21,102,143,7.27,6.8
장림1동,5469,10720,24,57,53,2.53,1.68
장림2동,10782,27335,22,59,79,6.46,4.27
장안읍,6717,8608,48,74,123,2.42,2.27
장전1동,5221,18053,10,47,19,2.54,2.35
장전2동,9975,26706,35,83,61,3.76,3.48
재송1동,17314,37812,46,76,66,13.36,6.67
재송2동,9545,24725,12,48,31,8.73,4.36
전포1동,8222,21776,24,86,64,6.14,3
전포2동,6711,20853,20,49,45,5.88,2.88
정관읍,36891,81932,162,171,194,23.06,21.57
좌1동,6679,18104,50,92,35,6.4,3.19
좌2동,11498,32065,30,50,33,11.33,5.65
좌3동,5988,16150,21,6,18,5.71,2.85
좌4동,8863,23142,20,18,26,8.18,4.08
좌천동,3397,10783,5,9,21,0.44,0.64
주례1동,6515,15160,13,30,45,5.53,3.52
